layer,mean_cls_var,best_ratio,n
0,0.4223938515484333,0.0,10000
1,0.4672023975998163,0.9828,10000
2,0.36648305024802685,0.0,10000
3,0.25759466310292484,0.0,10000
4,0.1733788041114807,0.0,10000
5,0.28987241046875717,0.0,10000
6,0.38090446299910546,0.0172,10000
7,0.23197200930565595,0.0,10000
